,run,minR,repetition,Module,Packets Sent,SF,TotalEnergyConsumed,TP,X,Y,Clustering_6
11144,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11144],1155,12,0.20815872,9,3613.5834890962,-649.17086083447,4
11145,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11145],1339,10,0.0723959808,9,1838.9134453614001,159.34492301671003,0
11146,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11146],1291,10,0.0698007552,10,147.55263069656,2275.031502769,5
11147,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11147],1317,11,0.129466368,6,1243.6609063583999,-2938.0526648944,5
11148,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11148],1251,11,0.12297830400000001,3,2365.4931144477,-1390.9304360385001,2
11149,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11149],1412,9,0.042412714666667004,4,-1342.0178627229,-599.47839273122,3
11150,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11150],1095,12,0.19734528,5,3548.0880432892,2255.011468857,1
11151,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11151],1209,11,0.11884953599999999,10,2218.8423091873997,2257.8696926234,2
11152,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11152],1417,8,0.023941632,8,-1032.4071314261998,590.00580836571,3
11153,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11153],1249,11,0.122781696,8,-546.43573349259,-2510.8435953363,2
11154,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11154],1185,12,0.21356544,5,-2290.2271875994,-2315.733885477,4
11155,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11155],1289,11,0.12671385599999999,5,-2698.8687174843,-1339.338241904,5
11156,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11156],1290,11,0.12681216,11,-1730.4012126971,-2147.2042695184,5
11157,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11157],1332,10,0.0720175104,6,558.09175093965,1868.5014576598999,5
11158,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11158],1125,12,0.202752,13,1269.3435863964999,-3437.7623513266,1
11159,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11159],1128,12,0.20329267199999998,11,2163.4311168569,-2922.368130608,1
11160,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11160],1161,12,0.20924006399999998,9,-3088.9114474327002,-1504.0105134285998,4
11161,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11161],1455,7,0.014047817142857001,2,-27.722933762542,137.42612359773,3
11162,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11162],1135,12,0.20455424,13,-3901.1743631378004,1589.347779,4
11163,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11163],1404,9,0.042172416,2,1255.8434597385,590.91325805701,3
11164,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11164],1114,12,0.20076953600000003,9,3271.6233739187,-122.98981957385,1
11165,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11165],1152,12,0.207618048,4,-3921.8624039582,1136.8717677352001,4
11166,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11166],1396,7,0.013478180571428999,10,-242.9360668234,784.3866244281501,0
11167,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11167],1221,12,0.22005350399999998,13,-2713.7792068687,-2641.0215620731,2
11168,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11168],1121,12,0.202031104,5,-2120.9477205435,-3480.8764796331,1
11169,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11169],1142,12,0.20581580800000002,3,-1306.1371888886,3200.7162143471,4
11170,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11170],1263,11,0.12415795199999999,2,-2753.0314392778005,1413.0269771230999,2
11171,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11171],1293,11,0.127107072,11,-326.44118693717996,-2833.7988853377,5
11172,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11172],1107,12,0.199507968,10,-409.50054740908996,3882.0706075413,1
11173,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11173],1139,12,0.20527513600000002,13,-3171.2151466623,-2544.354509369,4
11174,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11174],1461,7,0.014105746285714,2,-1022.79753617,-42.612391753646996,3
11175,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11175],1123,12,0.202391552,11,-3272.5121895992997,-12.928111340174,1
11176,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11176],1136,12,0.20473446399999998,8,2504.5003987319,-2155.7851309846,4
11177,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11177],1158,12,0.20869939199999998,6,-3623.9336308184,129.75206452497,4
11178,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11178],1259,11,0.123764736,8,-2633.0759210482,-938.58383693609,2
11179,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11179],1198,11,0.117768192,2,-1625.64203997,-2234.3075365498003,4
11180,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11180],1350,10,0.07299072,6,1748.3303439325,1355.1852990333,0
11181,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11181],1335,9,0.04009984,6,-1686.111379872,-544.46052335229,0
11182,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11182],1341,11,0.131825664,6,2494.6719525177,384.07504437239,0
11183,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11183],1133,12,0.20419379199999999,6,-3657.1778128051,1949.1970312434,1
11184,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11184],1289,11,0.12671385599999999,4,1622.4998347488001,-1911.3556254383,5
11185,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11185],1418,7,0.013690587428571002,14,-683.6568383607901,-557.04863269377,3
11186,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11186],1245,11,0.12238848,12,-2576.1279081646,-742.7956942190401,2
11187,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11187],1406,9,0.042232490666667,6,901.98550510055,-1218.025091019,3
11188,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11188],1331,10,0.0719634432,13,1800.7307610067999,-935.99082109431,5
11189,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11189],1333,10,0.07207157759999999,4,-739.91691782187,-2092.4095975814002,5
11190,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11190],1162,12,0.209420288,4,-2759.8601924435998,1989.9661408851,4
11191,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11191],1236,11,0.121503744,13,1773.4800277698998,-2646.6292086395997,2
11192,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11192],1124,12,0.202571776,10,1008.4574568653999,3273.4912261933,1
11193,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11193],1424,7,0.013748516571429,10,-738.26802981719,-369.92048714167,3
11194,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11194],1148,12,0.206897152,10,-2959.999264658,-2953.2839026476,4
11195,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11195],1140,12,0.20545536,11,2992.3582185591,1414.9840243394,4
11196,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11196],1371,9,0.041181183999999996,2,1046.6810225998,-1217.9546755954,0
11197,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11197],1386,7,0.013381632,7,537.2517487888,507.82095330223,0
11198,LoRaSim-MinimalTopology-0-20220610-21:57:17-972,0,0,LoRa.hostSF12[11198],1130,12,0.20365312,7,1585.0443732260999,-2965.9738087774,1
