run,minR,repetition,Module,Packets Sent,SFF,TotalEnergyConsumed,TP,X,Y
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9305],585,10,0.05750784,13,1134.509344,-2461.466968
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9306],535,10,0.09641984,11,4103.950755,596.4417867
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9307],711,8,0.021356544,5,478.6317696,1609.270211
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9308],527,10,0.094978048,9,-154.6231065,-3500.377283
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9309],672,8,0.036333158,10,-73.08879435,-2254.834538
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9310],561,11,0.101105664,14,136.5459227,3550.997165
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9311],741,8,0.022257664,9,1464.520708,-302.0951095
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9312],556,11,0.100204544,12,-2297.679337,3510.958658
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9313],618,10,0.060751872,4,2894.150767,-471.7660617
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9314],688,9,0.037198234,5,-1142.681055,1872.063713
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9315],526,10,0.094797824,5,-2202.060473,-2982.09022
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9316],596,10,0.058589184,12,-2802.497715,-1003.138321
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9317],631,10,0.062029824,6,2782.701851,-1334.692626
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9318],565,11,0.10182656,13,-428.6427622,-4154.9402
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9319],711,7,0.006864603,4,-54.8984504,-713.0036539
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9320],563,11,0.101466112,7,-2537.926513,-3279.982683
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9321],628,10,0.061734912,9,2799.234418,-994.3501244
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9322],565,11,0.10182656,5,-1387.326864,-3931.303003
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9323],657,10,0.064585728,4,2395.117923,2081.915515
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9324],633,11,0.114081792,8,2612.541026,2220.959393
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9325],628,10,0.061734912,7,-1375.908348,-2024.753717
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9326],629,10,0.061833216,4,3127.627758,-419.3454499
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9327],587,11,0.105791488,3,-3521.533459,-1151.711243
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9328],679,10,0.066748416,7,1942.251799,-1686.768641
LoRaSim-MinimalTopology-0-20220602-12:01:46-16996,0,0,LoRa.hostSF12[9329],637,10,0.062619648,2,-2542.615079,-1594.396901
